Ruas Jalan Tol,Gerbang Masuk,Gerbang Keluar,Golongan Kendaraan,Tarif Tol
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,Bakauheni Utara,Golongan I,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,Bakauheni Utara,Golongan II,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,Bakauheni Utara,Golongan III,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,Bakauheni Utara,Golongan IV,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,Bakauheni Utara,Golongan V,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,Bakauheni Utara,Golongan VI,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,Kalianda,Golongan I,"15,000.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,Kalianda,Golongan II,"22,000.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,Kalianda,Golongan III,"22,000.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,Kalianda,Golongan IV,"29,500.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,Kalianda,Golongan V,"29,500.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,Kalianda,Golongan VI,"29,500.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,Sidomulyo,Golongan I,"24,000.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,Sidomulyo,Golongan II,"36,000.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,Sidomulyo,Golongan III,"36,000.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,Sidomulyo,Golongan IV,"48,000.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,Sidomulyo,Golongan V,"48,000.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,Sidomulyo,Golongan VI,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,Lematang,Golongan I,"52,500.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,Lematang,Golongan II,"78,500.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,Lematang,Golongan III,"78,500.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,Lematang,Golongan IV,"105,000.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,Lematang,Golongan V,"105,000.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,Lematang,Golongan VI,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,Kotabaru,Golongan I,"56,000.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,Kotabaru,Golongan II,"83,500.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,Kotabaru,Golongan III,"83,500.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,Kotabaru,Golongan IV,"111,500.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,Kotabaru,Golongan V,"111,500.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,Kotabaru,Golongan VI,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,Natar,Golongan I,"70,000.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,Natar,Golongan II,"105,000.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,Natar,Golongan III,"105,000.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,Natar,Golongan IV,"140,000.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,Natar,Golongan V,"140,000.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,Natar,Golongan VI,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,Tegineneng Timur,Golongan I,"80,000.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,Tegineneng Timur,Golongan II,"119,500.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,Tegineneng Timur,Golongan III,"119,500.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,Tegineneng Timur,Golongan IV,"159,500.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,Tegineneng Timur,Golongan V,"159,500.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,Tegineneng Timur,Golongan VI,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,Tegineneng Barat,Golongan I,"80,000.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,Tegineneng Barat,Golongan II,"119,500.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,Tegineneng Barat,Golongan III,"119,500.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,Tegineneng Barat,Golongan IV,"159,500.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,Tegineneng Barat,Golongan V,"159,500.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,Tegineneng Barat,Golongan VI,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,Gunung Sugih,Golongan I,"97,500.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,Gunung Sugih,Golongan II,"146,000.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,Gunung Sugih,Golongan III,"146,000.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,Gunung Sugih,Golongan IV,"194,500.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,Gunung Sugih,Golongan V,"194,500.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,Gunung Sugih,Golongan VI,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,Terbanggi Besar,Golongan I,"105,000.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,Terbanggi Besar,Golongan II,"158,000.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,Terbanggi Besar,Golongan III,"158,000.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,Terbanggi Besar,Golongan IV,"210,500.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,Terbanggi Besar,Golongan V,"210,500.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,Terbanggi Besar,Golongan VI,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,Pelabuhan Bakauheni,Golongan I,"7,000.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,Pelabuhan Bakauheni,Golongan II,"10,500.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,Pelabuhan Bakauheni,Golongan III,"10,500.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,Pelabuhan Bakauheni,Golongan IV,"14,000.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,Pelabuhan Bakauheni,Golongan V,"14,000.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,Pelabuhan Bakauheni,Golongan VI,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,SS Lambu Kibang,Golongan I,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,SS Lambu Kibang,Golongan II,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,SS Lambu Kibang,Golongan III,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,SS Lambu Kibang,Golongan IV,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,SS Lambu Kibang,Golongan V,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,SS Lambu Kibang,Golongan VI,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,SS Way Kenanga,Golongan I,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,SS Way Kenanga,Golongan II,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,SS Way Kenanga,Golongan III,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,SS Way Kenanga,Golongan IV,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,SS Way Kenanga,Golongan V,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,SS Way Kenanga,Golongan VI,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,SS Simpang Pematang,Golongan I,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,SS Simpang Pematang,Golongan II,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,SS Simpang Pematang,Golongan III,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,SS Simpang Pematang,Golongan IV,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,SS Simpang Pematang,Golongan V,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,SS Simpang Pematang,Golongan VI,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,SS Kayu Agung,Golongan I,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,SS Kayu Agung,Golongan II,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,SS Kayu Agung,Golongan III,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,SS Kayu Agung,Golongan IV,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,SS Kayu Agung,Golongan V,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,SS Kayu Agung,Golongan VI,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,SS Gunung Batin,Golongan I,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,SS Gunung Batin,Golongan II,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,SS Gunung Batin,Golongan III,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,SS Gunung Batin,Golongan IV,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,SS Gunung Batin,Golongan V,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Utara,SS Gunung Batin,Golongan VI,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Kalianda,Bakauheni Selatan,Golongan I,"18,500.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Kalianda,Bakauheni Selatan,Golongan II,"27,500.00"
